Actor1	Actor2	Year
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
STENBORG, HELEN	BIVENS, J.B.	1993
