Actor1/Actress1	Actor2/Actress2
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
